date,open,high,low,close,volume,ma5,volume_ma5,volatility_range_5d,volatility_range_20d,volume_ratio_5d,ma5_acceleration,close_acceleration,volume_ratio_5d_acceleration,up_days_20d,gap_up_ratio_20d
2019-06-26,5323.697,5384.055,5303.236,5351.391,107686630,5366.0456,137720954.8,0.0165847553228066,0.0176380997050564,0.781918990878213,-14.738999999999578,51.81099999999879,-0.1306602881020747,0.35,0.4
2019-06-27,5361.977,5415.359,5360.485,5397.571,121409184,5382.0978000000005,132395361.0,0.0137245885307363,0.0173915542240723,0.9170199248899664,-7.371000000000095,46.478000000000975,0.2982880374559347,0.4,0.4
2019-06-28,5389.979,5389.979,5289.434,5321.433,119527294,5365.176399999999,122805198.2,0.0148065114906317,0.0175257481197952,0.973308098940066,-32.97360000000117,-122.3180000000002,-0.0788127599616541,0.4,0.45
2019-07-01,5418.212,5481.408,5392.445,5481.408,149214343,5380.6984,126476433.8,0.0160855153788505,0.0177255006221749,1.17977980969922,32.44340000000193,236.11300000000028,0.1501835367090548,0.45,0.45
2019-07-02,5482.443,5501.117,5462.728,5483.515,133052820,5407.0636,126178054.2,0.0134787911219797,0.0169416458870008,1.054484639532506,10.843199999999342,-157.8680000000004,-0.3317668809258681,0.5,0.5
2019-07-03,5465.945,5465.945,5408.578,5428.514,121295435,5422.4882,128899815.2,0.0125718488319209,0.01632179931257,0.9410054995951616,-10.940600000000812,-57.108000000000175,0.0118160302293695,0.5,0.5
2019-07-04,5435.483,5450.289,5381.046,5404.383,114081446,5423.8506,127434267.6,0.0131010395393097,0.0162395578466425,0.8952179672589102,-14.062199999999391,30.86999999999989,0.0676916076010931,0.5,0.5
2019-07-05,5404.707,5433.693,5379.888,5424.25,96904986,5444.414,122909806.0,0.0113060389385325,0.015367710766913,0.7884235534469886,19.201000000000025,43.9980000000005,-0.0610068814756703,0.5,0.5
2019-07-08,5410.203,5410.203,5221.952,5244.266,123487145,5396.9856,117764366.4,0.0152393559657258,0.0162757746397466,1.0485951631630397,-67.99179999999978,-199.85100000000057,0.3669660235279728,0.45,0.5
2019-07-09,5239.857,5270.459,5203.854,5260.343,90883173,5352.3512,109330437.0,0.0163715400408266,0.0150772466146737,0.831270554603198,2.793999999999869,196.0610000000006,-0.4774962182758928,0.5,0.45
2019-07-10,5267.272,5271.241,5196.817,5214.644,86986664,5309.5772,102468682.8,0.0171124196731581,0.0151743812877976,0.8489097509897922,1.860399999999572,-61.77599999999984,0.2349638049464358,0.45,0.5
2019-07-11,5236.656,5271.612,5180.956,5206.398,88825374,5269.9802,97417468.4,0.0180324284291922,0.0153931650347118,0.9118012966142732,3.1770000000005894,37.45299999999952,0.045252349237887,0.45,0.45
